Emotion,Probability
Prepared,0.01872282020871096
Anticipating,0.02552569352757327
Hopeful,0.05082014903663258
Proud,0.053028099148894906
Excited,0.04136176815031963
Joyful,0.028882374441485593
Content,0.020617480102341473
Caring,0.021669240122034
Grateful,0.014679884530176561
Trusting,0.0161792020050574
Confident,0.027412894130283975
Faithful,0.00569143897181134
Impressed,0.009085416340322689
Surprised,0.02652523851082716
Terrified,0.008719911085252236
Afraid,0.019670150155526214
Apprehensive,0.017186206279231096
Anxious,0.01736522926130642
Embarrassed,0.025443641327455413
Ashamed,0.015813696749986946
Devastated,0.009160009249520741
Sad,0.06972199222741886
Disappointed,0.014247245656827862
Lonely,0.013874281110837603
Sentimental,0.029165827496438188
Nostalgic,0.03173182357285116
Guilty,0.022139175449981726
Disgusted,0.007511505956243799
Furious,0.011614115962136639
Angry,0.014732099566615198
Annoyed,0.033283356084170636
Jealous,0.03537941683263589
Agreeing,0.005654142517212314
Acknowledging,0.005378148753179522
Encouraging,0.008332027957422368
Consoling,0.003505866732308427
Sympathizing,0.0013128352018857087
Suggesting,0.04869425112448811
Questioning,0.16072534144904185
Wishing,0.0032224136773558306
Neutral,0.006213589336197701
